"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Paces","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:11:13    ","00:11:13    ","1","108","17","00:11:13    ","00:11:13    ","00:00:00    ","63","83","61","125","193","17","84"
"2","00:14:37    ","00:14:37    ","1","109","87","00:14:37    ","00:14:37    ","00:00:00    ","61","94","63","165","187","18","159"
"3","00:07:14    ","00:07:14    ","1","35","23","00:07:14    ","00:07:14    ","00:00:00    ","79","85","89","177","192","17","86"
"4","00:13:46    ","00:13:46    ","1","116","5","00:13:46    ","00:13:46    ","00:00:00    ","60","82","66","178","189","19","181"
"5","00:12:27    ","00:12:27    ","1","60","12","00:12:27    ","00:12:27    ","00:00:00    ","70","83","72","164","185","19","145"
"6","00:17:31    ","00:17:31    ","1","19","170","00:17:31    ","00:17:31    ","00:00:00    ","68","97","86","144","180","20","156"
"7","00:09:10    ","00:09:10    ","1","17","148","00:09:10    ","00:09:10    ","00:00:00    ","75","93","73","164","182","18","99"
"8","00:06:51    ","00:06:51    ","1","5","47","00:06:51    ","00:06:51    ","00:00:00    ","80","86","108","155","183","19","70"
"9","00:05:14    ","00:05:06    ","0.90","20","1","00:05:50    ","00:05:41    ","00:00:00    ","83","86","110","190","199","18","68"
"Summary","01:38:00    ","01:37:55    ","8.90","489","510","00:11:01    ","00:11:00    ","00:00:00    ","69","97","75","160","199","19","1048"
